NM_MUN,SIGLA_UF,latitude,longitude
Acari,RN,-6.409375813160741,-36.65011608521838
Açu,RN,-5.526686874285537,-37.01411183474357
Afonso Bezerra,RN,-5.471441214091399,-36.59989036053539
Água Nova,RN,-6.2086252585309225,-38.30864379501132
Alexandria,RN,-6.364499341624314,-37.98919757702945
Almino Afonso,RN,-6.1544937731783005,-37.762973147343615
Alto do Rodrigues,RN,-5.362331846316266,-36.723619073453136
Angicos,RN,-5.646305081564669,-36.557230367220086
Antônio Martins,RN,-6.219618545909577,-37.92478280353293
Apodi,RN,-5.628338769604648,-37.83567269229104
Areia Branca,RN,-5.001181523330694,-37.04625594951372
Arês,RN,-6.1936877088489775,-35.20817589708764
Campo Grande,RN,-5.8803521833908,-37.32428649159239
Baía Formosa,RN,-6.434741045677051,-35.044892562966226
Baraúna,RN,-5.092818915491455,-37.618344328439605
Barcelona,RN,-5.961102883606559,-35.92202447260578
Bento Fernandes,RN,-5.675911411386447,-35.81187385330308
Bodó,RN,-5.962911491168329,-36.44174615469148
Bom Jesus,RN,-6.000818470194878,-35.59079384614047
Brejinho,RN,-6.218175446450938,-35.38358762683858
Caiçara do Norte,RN,-5.191850787522381,-36.08329521919279
Caiçara do Rio do Vento,RN,-5.766092194482597,-36.02646232309548
Caicó,RN,-6.467610040311537,-37.03795226511029
Campo Redondo,RN,-6.237711404076153,-36.20889525682774
Canguaretama,RN,-6.39509736518513,-35.14846066581773
Caraúbas,RN,-5.767270758968681,-37.58376907973075
Carnaúba dos Dantas,RN,-6.5533020291781385,-36.548801839598326
Carnaubais,RN,-5.264089809594044,-36.85729434558497
Ceará-Mirim,RN,-5.5954825774575205,-35.39522303396498
Cerro Corá,RN,-5.989369360771322,-36.327156615868645
Coronel Ezequiel,RN,-6.357198779450671,-36.195903890247905
Coronel João Pessoa,RN,-6.255476354061918,-38.42281440994873
Cruzeta,RN,-6.35593640926585,-36.824986629836054
Currais Novos,RN,-6.223576947465433,-36.44355580363312
Doutor Severiano,RN,-6.115374950572177,-38.40137283359149
Parnamirim,RN,-5.914328683953987,-35.23012005670815
Encanto,RN,-6.134226348807026,-38.306353430637344
Equador,RN,-6.882016455839181,-36.66615060329888
Espírito Santo,RN,-6.305658754643787,-35.30448493389136
Extremoz,RN,-5.680971849054067,-35.26866608051389
Felipe Guerra,RN,-5.539817688905905,-37.65588833726748
Fernando Pedroza,RN,-5.760504156837586,-36.39210225546715
Florânia,RN,-6.169730253713693,-36.81838173615197
Francisco Dantas,RN,-6.053010571825502,-38.108632961614234
Frutuoso Gomes,RN,-6.16101835346859,-37.839043318622046
Galinhos,RN,-5.175730560114086,-36.20799242017269
Goianinha,RN,-6.287833230466685,-35.21383826226928
Governador Dix-Sept Rosado,RN,-5.395090235588109,-37.53674604167073
Grossos,RN,-4.947556772041034,-37.21046951546756
Guamaré,RN,-5.1747674956132474,-36.343947860330005
Ielmo Marinho,RN,-5.784142094943917,-35.55043132140337
Ipanguaçu,RN,-5.538206957494454,-36.8026845144825
Ipueira,RN,-6.774161836864247,-37.18635225745122
Itajá,RN,-5.68998146711531,-36.808029878831356
Itaú,RN,-5.8184646506398545,-37.91650414255318
Jaçanã,RN,-6.410928743976099,-36.21455964814769
Jandaíra,RN,-5.356998718161653,-36.13824336764208
Janduís,RN,-5.996160711172256,-37.474895475787235
Januário Cicco,RN,-6.15191406335677,-35.600551502635476
Japi,RN,-6.4328260110677995,-35.89910673438017
Jardim de Angicos,RN,-5.613705498056638,-35.986768014198226
Jardim de Piranhas,RN,-6.33450544098615,-37.28589118640012
Jardim do Seridó,RN,-6.587743807582507,-36.80657257601601
João Câmara,RN,-5.475375632979576,-35.873926224794666
João Dias,RN,-6.287879417776481,-37.837899505317516
José da Penha,RN,-6.340582964370139,-38.283049793043794
Jucurutu,RN,-6.058025383318201,-37.021395942145034
Jundiá,RN,-6.256322437854614,-35.34036164062679
Lagoa d'Anta,RN,-6.384765465571798,-35.62622490508873
Lagoa de Pedras,RN,-6.192437131540753,-35.45083575031496
Lagoa de Velhos,RN,-6.010495526367091,-35.84438785459036
Lagoa Nova,RN,-6.092459197210778,-36.51911545636561
Lagoa Salgada,RN,-6.147194350420165,-35.5050415574386
Lajes,RN,-5.698196970858671,-36.18059874717012
Lajes Pintadas,RN,-6.148066310242062,-36.13422147460832
Lucrécia,RN,-6.103580408852608,-37.82437251329887
Luís Gomes,RN,-6.3733708472652095,-38.40263018013203
Macaíba,RN,-5.926865692196404,-35.428768262117394
Macau,RN,-5.195969652576043,-36.52345479057742
Major Sales,RN,-6.40510851416315,-38.31764499398295
Marcelino Vieira,RN,-6.280323427345214,-38.15733739527308
Martins,RN,-6.080228103584684,-37.90590200396984
Maxaranguape,RN,-5.4515850321199615,-35.35449436493346
Messias Targino,RN,-6.089915095063949,-37.480185884723355
Montanhas,RN,-6.5049261906718,-35.2909240178175
Monte Alegre,RN,-6.098760883001162,-35.405064045968366
Monte das Gameleiras,RN,-6.42987928642275,-35.809031866724894
Mossoró,RN,-5.1758564090921695,-37.3255227564723
Natal,RN,-5.803180974924555,-35.22884021032641
Nísia Floresta,RN,-6.054929715519155,-35.17322273489022
Nova Cruz,RN,-6.448648015616417,-35.4289531635334
Olho d'Água do Borges,RN,-5.978938013517353,-37.710187670462155
Ouro Branco,RN,-6.6835372511895255,-36.92106519813398
Paraná,RN,-6.451045742637052,-38.284203702051485
Paraú,RN,-5.784394034309071,-37.11055548371115
Parazinho,RN,-5.28583324612869,-35.936195248097924
Parelhas,RN,-6.713856588660026,-36.61947954801888
Rio do Fogo,RN,-5.377275212381949,-35.39997876310654
Passa e Fica,RN,-6.442741819531454,-35.61453857707453
Passagem,RN,-6.283824217998272,-35.39571137258403
Patu,RN,-6.086895902467464,-37.62133768263999
Santa Maria,RN,-5.788927733212322,-35.72048104970259
Pau dos Ferros,RN,-6.1174104052639064,-38.169748341441306
Pedra Grande,RN,-5.146048395313676,-35.87350683114437
Pedra Preta,RN,-5.524535438417178,-36.0795237756422
Pedro Avelino,RN,-5.475046766549611,-36.331624974505495
Pedro Velho,RN,-6.465253486535023,-35.224515818467104
Pendências,RN,-5.2929108298438035,-36.62398764882482
Pilões,RN,-6.286597430965434,-38.02921682934332
Poço Branco,RN,-5.571519806281865,-35.69435154736319
Portalegre,RN,-6.032875845701823,-38.01498390837185
Porto do Mangue,RN,-5.088333758016447,-36.84151554772635
Serra Caiada,RN,-6.109228006091859,-35.72352906475378
Pureza,RN,-5.407298175366266,-35.58214546604268
Rafael Fernandes,RN,-6.196813816414157,-38.22374236158474
Rafael Godeiro,RN,-6.069078389202545,-37.730220620022955
Riacho da Cruz,RN,-5.923592655569629,-37.96643314122064
Riacho de Santana,RN,-6.277005731529652,-38.33612539882285
Riachuelo,RN,-5.798442704198406,-35.84958980700841
Rodolfo Fernandes,RN,-5.858496361653887,-38.08092807508683
Tibau,RN,-4.888374244947732,-37.320987738351455
Ruy Barbosa,RN,-5.856862983002537,-35.940517848305795
Santa Cruz,RN,-6.248263104738504,-36.006487009896425
Santana do Matos,RN,-5.904370366788027,-36.63462418289164
Santana do Seridó,RN,-6.73224333300265,-36.76513023853596
Santo Antônio,RN,-6.3394807968643825,-35.5054050173178
São Bento do Norte,RN,-5.144132900705548,-35.989062580500665
São Bento do Trairí,RN,-6.3832213288561155,-36.04846836293584
São Fernando,RN,-6.3213598203449495,-37.15115716834477
São Francisco do Oeste,RN,-5.985178997193631,-38.183790929641155
São Gonçalo do Amarante,RN,-5.7877440282081105,-35.36480782572074
São João do Sabugi,RN,-6.690420138397858,-37.18850679871479
São José de Mipibu,RN,-6.064009786600435,-35.28941581382105
São José do Campestre,RN,-6.3011258222494595,-35.740173888743
São José do Seridó,RN,-6.486639202269072,-36.85850365075313
São Miguel,RN,-6.214365173858952,-38.474284812077244
São Miguel do Gostoso,RN,-5.194005162117954,-35.737198479759
São Paulo do Potengi,RN,-5.934043756253199,-35.75443043997602
São Pedro,RN,-5.892565618937445,-35.63033250340839
São Rafael,RN,-5.837405096515866,-36.878511243469
São Tomé,RN,-5.988218358002132,-36.12857507691563
São Vicente,RN,-6.207687231948669,-36.65981684145803
Senador Elói de Souza,RN,-6.04126555716889,-35.68249226729193
Senador Georgino Avelino,RN,-6.157871838229359,-35.12140539038004
Serra de São Bento,RN,-6.428641796734382,-35.71893417828936
Serra do Mel,RN,-5.171294753985492,-37.02422558531907
Serra Negra do Norte,RN,-6.587382641992546,-37.3600259081518
Serrinha,RN,-6.255128579839218,-35.57436038515191
Serrinha dos Pintos,RN,-6.144496303753136,-37.993069144660254
Severiano Melo,RN,-5.769197846557117,-37.97270836063185
Sítio Novo,RN,-6.087969311486411,-35.92730347422603
Taboleiro Grande,RN,-5.935842718102123,-38.05115332074993
Taipu,RN,-5.596712104265689,-35.58520534562829
Tangará,RN,-6.216985627719728,-35.835292616428234
Tenente Ananias,RN,-6.440618072771985,-38.163888332719296
Tenente Laurentino Cruz,RN,-6.1590864230277615,-36.72269630707263
Tibau do Sul,RN,-6.241689447775855,-35.09981743353656
Timbaúba dos Batistas,RN,-6.477694841174128,-37.2472068891017
Touros,RN,-5.281023525163549,-35.60797839235247
Triunfo Potiguar,RN,-5.918396836697889,-37.15155209660336
Umarizal,RN,-5.991984562790731,-37.83261069208492
Upanema,RN,-5.610105256696173,-37.29196656907443
Várzea,RN,-6.3514599763738655,-35.36839191243771
Venha-Ver,RN,-6.3207193490387175,-38.52677981034214
Vera Cruz,RN,-6.037195750285013,-35.43552833029329
Viçosa,RN,-5.987057050350252,-37.95502448704782
Vila Flor,RN,-6.302819410861283,-35.087062378400766
